genres,original_title,director,production_companies
"action,adventure,science fiction",Captain America: Civil War,Anthony Russo,"Studio Babelsberg,Marvel Studios,Walt Disney Studios Motion Pictures,Vita-Ray Dutch Productions (III),Deluxe Digital Studios"
"action,adventure,science fiction,thriller",Battleship,Peter Berg,"Universal Pictures,Hasbro,Bluegrass Films,Film 44"
"action,adventure,science fiction,thriller",Jurassic World,Colin Trevorrow,"Universal Studios,Amblin Entertainment,Legendary Pictures,Fuji Television Network,Dentsu"
"action,adventure,thriller",Skyfall,Sam Mendes,Columbia Pictures
"action,adventure,fantasy",Spider-Man 2,Sam Raimi,"Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises"
"action,adventure,science fiction",Iron Man 3,Shane Black,Marvel Studios
"adventure,family,fantasy",Alice in Wonderland,Tim Burton,"Walt Disney Pictures,Team Todd,Tim Burton Productions,Roth Films,Zanuck Company, The"
"action,adventure,science fiction,thriller",X-Men: The Last Stand,Brett Ratner,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,Major Studio Partners,Bad Hat Harry Productions,thinkfilm,Marvel Enterprises,X3 Canada Productions,X3US Productions,XM3 Service"
"animation,family",Monsters University,Dan Scanlon,"Walt Disney Pictures,Pixar Animation Studios"
"action,adventure,science fiction",Transformers: Revenge of the Fallen,Michael Bay,"Paramount Pictures,DreamWorks SKG,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,Hasbro Studios,Revolution Sun Studios"
"action,adventure,science fiction",Transformers: Age of Extinction,Michael Bay,"Paramount Pictures,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,China Movie Channel,Hasbro Studios,Ian Bryce Productions,Revolution Sun Studios"
"adventure,family,fantasy",Oz: The Great and Powerful,Sam Raimi,"Walt Disney Pictures,Roth Films"
"action,adventure,fantasy",The Amazing Spider-Man 2,Marc Webb,"Columbia Pictures,Marvel Enterprises,Avi Arad Productions,Matt Tolmach Productions"
"action,adventure,science fiction",TRON: Legacy,Joseph Kosinski,"Walt Disney Pictures,LivePlanet,Prana Studios,Sean Bailey Productions,Revolution Sun Studios,Kontsept Film Company"
"adventure,animation,comedy,family",Cars 2,John Lasseter,"Walt Disney Pictures,Pixar Animation Studios"
"action,adventure,science fiction,thriller",Green Lantern,Martin Campbell,"De Line Pictures,Warner Bros.,DC Entertainment"
"animation,comedy,family",Toy Story 3,Lee Unkrich,"Walt Disney Pictures,Pixar Animation Studios"
"action,science fiction,thriller",Terminator Salvation,McG,"Columbia Pictures,The Halcyon Company,Wonderland Sound and Vision,Warner Bros."
action,Furious 7,James Wan,"Universal Pictures,Original Film,Fuji Television Network,Dentsu,One Race Films,China Film Co.,Québec Production Services Tax Credit,Media Rights Capital (MRC),Abu Dhabi Film Commission,Colorado Office of Film, Television & Media"
"action,drama,horror,science fiction,thriller",World War Z,Marc Forster,"Paramount Pictures,GK Films,Skydance Productions,Hemisphere Media Capital,Apparatus Productions,Latina Pictures,2DUX²"
"action,adventure,fantasy,science fiction",X-Men: Days of Future Past,Bryan Singer,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,TSG Entertainment,Down Productions,Revolution Sun Studios"
"action,adventure,science fiction",Star Trek Into Darkness,J.J. Abrams,"Paramount Pictures,Skydance Productions,Bad Robot,Kurtzman/Orci"
"action,family,fantasy",Jack the Giant Slayer,Bryan Singer,"New Line Cinema,Original Film,Legendary Pictures,Warner Bros.,Big Kid Pictures,Bad Hat Harry Productions"
"drama,romance",The Great Gatsby,Baz Luhrmann,"Village Roadshow Pictures,Bazmark Films,Warner Bros.,A&E Television Networks,Red Wagon Entertainment,Spectrum Films"
"action,adventure,fantasy,romance",Prince of Persia: The Sands of Time,Mike Newell,"Walt Disney Pictures,Jerry Bruckheimer Films"
"action,adventure,science fiction",Pacific Rim,Guillermo del Toro,"Legendary Pictures,Warner Bros.,Disney Double Dare You (DDY),Indochina Productions"
"action,adventure,science fiction",Transformers: Dark of the Moon,Michael Bay,"Paramount Pictures,Di Bonaventura Pictures,Indochina Productions,Hasbro Studios"
"action,adventure",Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,"Lucasfilm,Paramount Pictures"
"adventure,animation,family",The Good Dinosaur,Peter Sohn,"Walt Disney Pictures,Pixar Animation Studios"
"action,adventure,animation,comedy,family",Brave,Brenda Chapman,"Walt Disney Pictures,Pixar Animation Studios"
"action,adventure,science fiction",Star Trek Beyond,Justin Lin,"Paramount Pictures,Bad Robot,Perfect Storm Entertainment,Alibaba Pictures Group,Skydance Media,Sneaky Shark,Huahua Media"
"animation,family",WALL·E,Andrew Stanton,"Walt Disney Pictures,Pixar Animation Studios,FortyFour Studios"
"action,comedy,crime,thriller",Rush Hour 3,Brett Ratner,New Line Cinema
"action,adventure,science fiction",2012,Roland Emmerich,"Columbia Pictures,Centropolis Entertainment,The Mark Gordon Company,Farewell Productions"
"animation,drama",A Christmas Carol,Robert Zemeckis,"Walt Disney,ImageMovers"
"action,adventure,fantasy,science fiction",Jupiter Ascending,Lilly Wachowski,"Village Roadshow Pictures,Dune Entertainment,Anarchos Productions,Warner Bros."
"action,adventure",The Legend of Tarzan,David Yates,"Village Roadshow Pictures,Dark Horse Entertainment,Jerry Weintraub Productions,RatPac-Dune Entertainment,Beagle Pug Films,Riche Productions,Village Roadshow Films North America"
"adventure,family,fantasy","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,"Walt Disney,Walden Media"
science fiction,X-Men: Apocalypse,Bryan Singer,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,TSG Entertainment,Kinberg Genre"
"action,crime,drama,thriller",The Dark Knight,Christopher Nolan,"DC Comics,Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy"
"adventure,animation,comedy,family",Up,Pete Docter,Pixar Animation Studios
"adventure,animation,family,science fiction",Monsters vs Aliens,Conrad Vernon,DreamWorks Animation
"action,adventure,science fiction",Iron Man,Jon Favreau,Marvel Studios
"adventure,drama,family",Hugo,Martin Scorsese,"Paramount Pictures,Infinitum Nihil,GK Films"
"action,adventure,comedy,science fiction,western",Wild Wild West,Barry Sonnenfeld,"Todman, Simon, LeMasters Productions,Warner Bros.,Peters Entertainment,Sonnenfeld Josephson Worldwide Entertainment"
"action,adventure,fantasy",The Mummy: Tomb of the Dragon Emperor,Rob Cohen,"Universal Pictures,China Film Co-Production Corporation,Relativity Media,Alphaville Films,Sommers Company, The"
"action,adventure,crime,fantasy,science fiction",Suicide Squad,David Ayer,"DC Comics,Dune Entertainment,Atlas Entertainment,Warner Bros.,DC Entertainment"
"comedy,family,fantasy",Evan Almighty,Tom Shadyac,"Columbia Pictures,Universal Pictures,Spyglass Entertainment,Shady Acres Entertainment,Original Film,Playtone,Relativity Media"
"action,science fiction",Edge of Tomorrow,Doug Liman,"Village Roadshow Pictures,Warner Bros.,Viz Media,Province of British Columbia Production Services Tax Credit,3 Arts Entertainment,RatPac-Dune Entertainment"
"action,adventure",Waterworld,Kevin Reynolds,"Universal Pictures,Gordon Company,Davis Entertainment,Licht/Mueller Film Corporation"
"action,adventure,science fiction,thriller",G.I. Joe: The Rise of Cobra,Stephen Sommers,"Paramount Pictures,Spyglass Entertainment,Di Bonaventura Pictures,Hasbro,Kontsept Film Company"
"animation,comedy,drama,family",Inside Out,Pete Docter,"Walt Disney Pictures,Pixar Animation Studios"
"adventure,drama,family,fantasy",The Jungle Book,Jon Favreau,"Walt Disney Pictures,Walt Disney Studios Motion Pictures,Fairview Entertainment,Moving Picture Company (MPC)"
"action,adventure,science fiction",Iron Man 2,Jon Favreau,Marvel Studios
"adventure,drama,fantasy",Snow White and the Huntsman,Rupert Sanders,"Universal Pictures,Roth Films"
"action,adventure,family,fantasy,romance",Maleficent,Robert Stromberg,"Walt Disney Pictures,Walt Disney Studios Motion Pictures,Roth Films"
"action,drama,science fiction,thriller",Dawn of the Planet of the Apes,Matt Reeves,"Ingenious Media,Chernin Entertainment,TSG Entertainment"
"action,adventure,romance,science fiction",The Lovers,Roland Joff\u00e9,"Corsan,Bliss Media,Limelight International Media Entertainment,Neelmudra Entertainment,Aristos Films,Singularity Productions,Wildkite"
"action,adventure,drama,fantasy",47 Ronin,Carl Rinsch,"Mid Atlantic Films,Stuber Productions,Universal,Moving Picture Company (MPC),H2F Entertainment"
"action,adventure,science fiction",Captain America: The Winter Soldier,Anthony Russo,Marvel Studios
"adventure,animation,comedy,family,fantasy",Shrek Forever After,Mike Mitchell,DreamWorks Animation
"adventure,family,mystery,science fiction",Tomorrowland,Brad Bird,"Walt Disney Pictures,Babieka,A113"
"action,adventure,animation,comedy,family",Big Hero 6,Chris Williams,"Walt Disney Pictures,Walt Disney Animation Studios"
"adventure,animation,comedy,family",Wreck-It Ralph,Rich Moore,Walt Disney Animation Studios
"adventure,animation,family,fantasy",The Polar Express,Robert Zemeckis,"Golden Mean,Playtone,ImageMovers"
"action,adventure,science fiction",Independence Day: Resurgence,Roland Emmerich,"Twentieth Century Fox Film Corporation,Centropolis Entertainment,TSG Entertainment,Stereo D"
"adventure,animation,family,fantasy",How to Train Your Dragon,Chris Sanders,"DreamWorks Animation,Vertigo Entertainment,Mad Hatter Entertainment"
"action,science fiction,thriller",Terminator 3: Rise of the Machines,Jonathan Mostow,"Columbia Pictures,Intermedia Films,Warner Bros.,C-2 Pictures,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,Mostow/Lieberman Productions"
"action,adventure,science fiction",Guardians of the Galaxy,James Gunn,"Marvel Studios,Moving Picture Company (MPC),Bulletproof Cupid,Revolution Sun Studios"
"adventure,drama,science fiction",Interstellar,Christopher Nolan,"Paramount Pictures,Legendary Pictures,Warner Bros.,Syncopy,Lynda Obst Productions"
"action,adventure,mystery,science fiction,thriller",Inception,Christopher Nolan,"Legendary Pictures,Warner Bros.,Syncopy"
"action,adventure,drama,horror,science fiction",シン・ゴジラ,Hideaki Anno,"Cine Bazar,Toho Pictures"
"action,adventure,fantasy",The Hobbit: An Unexpected Journey,Peter Jackson,"WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM)"
"action,crime,thriller",The Fast and the Furious,Rob Cohen,"Universal Pictures,Original Film,Ardustry Entertainment,Mediastream Film GmbH & Co. Productions KG"
"drama,fantasy,mystery,romance,thriller",The Curious Case of Benjamin Button,David Fincher,"Paramount Pictures,Warner Bros.,Kennedy/Marshall Company, The"
"action,adventure,science fiction",X-Men: First Class,Matthew Vaughn,"Ingenious Film Partners,Ingenious Media,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,Dune Entertainment III,Marvel Entertainment,Bad Hat Harry Productions,Big Screen Productions"
"action,adventure,science fiction",The Hunger Games: Mockingjay - Part 2,Francis Lawrence,"Studio Babelsberg,Lionsgate,Color Force"
"action,adventure,comedy,drama,fantasy",The Sorcerer's Apprentice,Jon Turteltaub,"Walt Disney Pictures,Jerry Bruckheimer Films,Saturn Films,Broken Road Productions,Junction Entertainment"
"action,adventure,drama,thriller",Poseidon,Wolfgang Petersen,"Virtual Studios,Next Entertainment,Warner Bros.,Irwin Allen Productions,Radiant Productions,Synthesis Entertainment"
fantasy,Alice Through the Looking Glass,James Bobin,"Walt Disney Pictures,Team Todd,Tim Burton Productions,Roth Films,Legend3D"
"adventure,animation,comedy,family,fantasy",Shrek the Third,Chris Miller,"DreamWorks SKG,DreamWorks Animation"
"action,adventure,fantasy",Warcraft,Duncan Jones,"Universal Pictures,Atlas Entertainment,Legendary Pictures,Blizzard Entertainment"
"action,adventure,science fiction,thriller",Terminator Genisys,Alan Taylor,"Paramount Pictures,Annapurna Pictures,Skydance Media"
"adventure,family,fantasy",The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,"Dune Entertainment,Fox 2000 Pictures,Walden Media"
"history,romance,war",Pearl Harbor,Michael Bay,"Jerry Bruckheimer Films,Touchstone Pictures"
"action,adventure,science fiction",Transformers,Michael Bay,"Paramount Pictures,DreamWorks SKG,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,thinkfilm,SprocketHeads,Hasbro Studios,Revolution Sun Studios"
"action,adventure,drama,history,war",Alexander,Oliver Stone,"France 3 Cinéma,Intermedia Films,Pathé Renn Productions,Egmond Film & Television,Warner Bros.,Pacifica Film,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,WR Universal Group"
"adventure,family,fantasy,mystery",Harry Potter and the Order of the Phoenix,David Yates,"Warner Bros.,Heyday Films"
"adventure,family,fantasy",Harry Potter and the Goblet of Fire,Mike Newell,"Patalex IV Productions Limited,Warner Bros.,Heyday Films"
"action,fantasy",Hancock,Peter Berg,"Columbia Pictures,Weed Road Pictures,Forward Pass,Relativity Media,Overbrook Entertainment,Blue Light,GH Three"
"action,drama,horror,science fiction,thriller",I Am Legend,Francis Lawrence,"Village Roadshow Pictures,Original Film,Weed Road Pictures,Warner Bros.,Heyday Films,Overbrook Entertainment"
"adventure,comedy,family,fantasy",Charlie and the Chocolate Factory,Tim Burton,"Village Roadshow Pictures,The Zanuck Company,Warner Bros.,Tim Burton Productions,Plan B Entertainment,Theobald Film Productions"
"animation,comedy,family,fantasy",Ratatouille,Jan Pinkava,"Walt Disney Pictures,Pixar Animation Studios"
"action,crime,drama",Batman Begins,Christopher Nolan,"DC Comics,Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,Patalex III Productions Limited"
"animation,family",Madagascar: Escape 2 Africa,Eric Darnell,DreamWorks Animation
"action,adventure,comedy,family,fantasy",Night at the Museum: Battle of the Smithsonian,Shawn Levy,"Twentieth Century Fox Film Corporation,1492 Pictures,Dune Entertainment,21 Laps Entertainment,Museum Canada Productions,Moving Picture Company (MPC)"
"action,adventure,science fiction,thriller",X-Men Origins: Wolverine,Gavin Hood,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,Seed Productions,Bad Hat Harry Productions,Big Screen Productions,Marvel Enterprises"
"action,adventure,science fiction,thriller",The Matrix Revolutions,Lilly Wachowski,"Village Roadshow Pictures,NPV Entertainment,Silver Pictures,Warner Bros."
"adventure,animation,family",Frozen,Chris Buck,"Walt Disney Pictures,Walt Disney Animation Studios"
"action,adventure,science fiction,thriller",The Matrix Reloaded,Lilly Wachowski,"Village Roadshow Pictures,NPV Entertainment,Heineken Branded Entertainment,Silver Pictures,Warner Bros."
"action,adventure,fantasy",Thor: The Dark World,Alan Taylor,Marvel Studios
"action,adventure,science fiction,thriller",Mad Max: Fury Road,George Miller,"Village Roadshow Pictures,Kennedy Miller Productions,Warner Bros."
"mystery,thriller",Angels & Demons,Ron Howard,"Columbia Pictures,Imagine Entertainment,Panorama Films,Skylark Productions"
"action,adventure,fantasy",Thor,Kenneth Branagh,Marvel Studios
"adventure,animation,comedy,family",Bolt,Chris Williams,Walt Disney Animation Studios
"action,adventure,comedy,family,fantasy",G-Force,Hoyt Yeatman,"Walt Disney Pictures,Jerry Bruckheimer Films,Whamaphram Productions"
adventure,Wrath of the Titans,Jonathan Liebesman,"Legendary Pictures,Thunder Road Pictures,Warner Bros.,Cott Productions,Furia de Titanes II, A.I.E."
"comedy,fantasy",Dark Shadows,Tim Burton,"Village Roadshow Pictures,Infinitum Nihil,GK Films,Warner Bros.,Tim Burton Productions,Dan Curtis Productions,Zanuck Company, The"
"action,adventure,thriller",Mission: Impossible - Rogue Nation,Christopher McQuarrie,"Paramount Pictures,Skydance Productions,China Movie Channel,Bad Robot,TC Productions,Alibaba Pictures Group,Odin"
"drama,horror,thriller",The Wolfman,Joe Johnston,"Universal Pictures,Stuber Productions,Relativity Media"
"adventure,animation,comedy,family",Bee Movie,Steve Hickner,"Pacific Data Images (PDI),DreamWorks Animation,Columbus 81 Productions"
"animation,family",Kung Fu Panda 2,Jennifer Yuh Nelson,DreamWorks Animation
"action,adventure,family,fantasy",The Last Airbender,M. Night Shyamalan,"Paramount Pictures,Nickelodeon Movies,Kennedy/Marshall Company, The,Industrial Light & Magic (ILM),Blinding Edge Pictures"
"action,adventure,thriller",Mission: Impossible III,J.J. Abrams,"Paramount Pictures,Cruise/Wagner Productions,Studio Babelsberg,MI 3 Film,China Film Co-Production Corporation,China Film Group Corporation (CFGC),The Fourth Production Company Film Group"
"action,drama,thriller",White House Down,Roland Emmerich,"Columbia Pictures,Centropolis Entertainment,Iron Horse Entertainment (II),Mythology Entertainment (II)"
"adventure,animation,family",Mars Needs Moms,Simon Wells,Walt Disney Animation Studios
"adventure,animation,comedy,family",Flushed Away,David Bowers,"Aardman Animations,DreamWorks Animation"
"adventure,family,fantasy",Pan,Joe Wright,"Warner Bros.,Moving Picture Company (MPC),Berlanti Productions,RatPac-Dune Entertainment"
"adventure,animation,family",Mr. Peabody & Sherman,Rob Minkoff,"Pacific Data Images (PDI),DreamWorks Animation,Classic Media Productions,Bullwinkle Studios"
"adventure,drama,war",Troy,Wolfgang Petersen,"Plan B Entertainment,Warner Bros.,Nimar Studios,Radiant Productions,Helena Productions,Latina Pictures"
"animation,family",Madagascar 3: Europe's Most Wanted,Conrad Vernon,DreamWorks Animation
"action,adventure,thriller",Die Another Day,Lee Tamahori,Eon Productions
"action,comedy,fantasy",Ghostbusters,Paul Feig,"Columbia Pictures,Village Roadshow Pictures,Montecito Picture Company, The,LStar Capital,Feigco Entertainment,Pascal Pictures,Ghostcorps"
"action,adventure,science fiction,thriller",Armageddon,Michael Bay,"Jerry Bruckheimer Films,Touchstone Pictures,Valhalla Motion Pictures"
"action,adventure,comedy,science fiction",Men in Black II,Barry Sonnenfeld,"Columbia Pictures,Amblin Entertainment,Columbia Pictures Corporation,Parkes+MacDonald Image Nation"
"action,adventure,animation",Beowulf,Robert Zemeckis,"Paramount Pictures,Shangri-La Entertainment,ImageMovers,Paramount Animation"
"action,adventure,animation,comedy,family",Kung Fu Panda 3,Jennifer Yuh Nelson,"Twentieth Century Fox Film Corporation,DreamWorks Animation,China Film Co.,Oriental DreamWorks"
"action,adventure,thriller",Mission: Impossible - Ghost Protocol,Brad Bird,"Paramount Pictures,Skydance Productions,Bad Robot,TC Productions,Revolution Sun Studios,Kontsept Film Company"
"animation,family,fantasy",Rise of the Guardians,Peter Ramsey,DreamWorks Animation
comedy,Fun with Dick and Jane,Dean Parisot,"Imagine Entertainment,Columbia Pictures Corporation,JC 23 Entertainment"
"action,drama,history,war",The Last Samurai,Edward Zwick,"Cruise/Wagner Productions,Warner Bros.,Radar Pictures,Bedford Falls Company, The"
"action,adventure,drama",Exodus: Gods and Kings,Ridley Scott,"Scott Free Productions,Chernin Entertainment,Babieka,Volcano Films"
"action,adventure,science fiction",Star Trek,J.J. Abrams,"Paramount Pictures,Spyglass Entertainment,Bad Robot,MavroCine Pictures GmbH & Co. KG"
"action,fantasy",Spider-Man,Sam Raimi,"Columbia Pictures,Marvel Enterprises"
"action,adventure,animation,comedy,fantasy",How to Train Your Dragon 2,Dean DeBlois,"DreamWorks Animation,Mad Hatter Entertainment"
fantasy,Gods of Egypt,Alex Proyas,"Summit Entertainment,Mystery Clock Cinema,Thunder Road Pictures,TIK Films,Pyramania"
action,Stealth,Rob Cohen,"Laura Ziskin Productions,Original Film,Columbia Pictures Corporation,Phoenix Pictures,AFG Talons Productions"
"action,mystery,science fiction",Watchmen,Zack Snyder,"Paramount Pictures,DC Comics,Lawrence Gordon Productions,Legendary Pictures,Warner Bros.,Cruel and Unusual Films"
"action,adventure,comedy,crime,thriller",Lethal Weapon 4,Richard Donner,"Silver Pictures,Donner/Shuler-Donner Productions,Warner Bros."
"action,drama,science fiction",Hulk,Ang Lee,"Universal Pictures,Good Machine,Valhalla Motion Pictures,Marvel Enterprises"
"action,adventure,science fiction,thriller",G.I. Joe: Retaliation,Jon M. Chu,"Paramount Pictures,Di Bonaventura Pictures,Hasbro,Skydance Productions,Metro-Goldwyn-Mayer (MGM),Saints LA"
"action,adventure,comedy,drama,mystery",Sahara,Breck Eisner,"Paramount Pictures,Bristol Bay Productions,Baldwin Entertainment Group,Desertlands Entertainment,Mace Neufeld Productions,Kanzaman,J.K. Livin Productions,Moguletta,Sahara Productions,Babelsberg Film"
"action,adventure,animation,fantasy,science fiction",Final Fantasy: The Spirits Within,Hironobu Sakaguchi,"Columbia Pictures,Square USA,Chris Lee Productions"
"action,adventure,science fiction",Captain America: The First Avenger,Joe Johnston,Marvel Studios
"action,adventure,thriller",The World Is Not Enough,Michael Apted,"Eon Productions,Metro-Goldwyn-Mayer (MGM)"
adventure,Master and Commander: The Far Side of the World,Peter Weir,"Universal Pictures,Twentieth Century Fox Film Corporation,Samuel Goldwyn Films,Miramax"
"adventure,drama,fantasy,romance",The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,"Summit Entertainment,Sunswept Entertainment,Temple Hill Entertainment"
"animation,comedy,family",Happy Feet Two,George Miller,"Village Roadshow Pictures,Warner Bros.,Dr D Studios,Kennedy Miller Mitchell"
"action,adventure,science fiction",The Incredible Hulk,Louis Leterrier,"Universal Pictures,Marvel Studios,Valhalla Motion Pictures,MVL Incredible Productions"
"adventure,family,fantasy",The BFG,Steven Spielberg,"Walt Disney Pictures,Amblin Entertainment,Reliance Entertainment,Kennedy/Marshall Company, The,Walden Media"
"adventure,drama,thriller,western",The Revenant,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,"Regency Enterprises,Appian Way,CatchPlay,Anonymous Content,New Regency Pictures,Hong Kong Alpha Motion Pictures Co.,RatPac Entertainment,M Productions,Monarchy Enterprises S.a.r.l."
"animation,family",Turbo,David Soren,DreamWorks Animation
"adventure,animation,comedy,family,western",Rango,Gore Verbinski,"Paramount Pictures,Nickelodeon Movies,GK Films,Blind Wink,Paramount Animation"
"adventure,animation,comedy,family",Penguins of Madagascar,Eric Darnell,DreamWorks Animation
"action,drama,mystery,thriller",The Bourne Ultimatum,Paul Greengrass,"Universal Pictures,The Kennedy/Marshall Company,Ludlum Entertainment,Motion Picture BETA Produktionsgesellschaft,Bourne Again"
"adventure,animation,comedy,family",Kung Fu Panda,Mark Osborne,DreamWorks Animation
"action,adventure,science fiction",Ant-Man,Peyton Reed,Marvel Studios
"action,adventure,science fiction",The Hunger Games: Catching Fire,Francis Lawrence,"Lionsgate,Color Force"
"animation,comedy,family,fantasy,science fiction",Home,Tim Johnson,"Twentieth Century Fox Film Corporation,DreamWorks Animation"
"adventure,science fiction,thriller",War of the Worlds,Steven Spielberg,"Paramount Pictures,DreamWorks SKG,Cruise/Wagner Productions,Amblin Entertainment"
"action,adventure,comedy,crime,thriller",Bad Boys II,Michael Bay,"Columbia Pictures Corporation,Don Simpson/Jerry Bruckheimer Films"
"action,adventure,animation,family,fantasy",Puss in Boots,Chris Miller,DreamWorks
"action,mystery,thriller",Salt,Phillip Noyce,"Columbia Pictures,Di Bonaventura Pictures,Relativity Media,Wintergreen Productions"
"adventure,drama",Noah,Darren Aronofsky,"Paramount Pictures,Regency Enterprises,Protozoa Pictures,Disruption Entertainment"
"adventure,animation,mystery",The Adventures of Tintin,Steven Spielberg,"Paramount Pictures,Columbia Pictures,WingNut Films,Amblin Entertainment,Nickelodeon Movies,Kennedy/Marshall Company, The,Hemisphere Media Capital"
"adventure,family,fantasy",Harry Potter and the Prisoner of Azkaban,Alfonso Cuar\u00f3n,"1492 Pictures,Heyday films,Warner Bros."
drama,Australia,Baz Luhrmann,"Bazmark Films,Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment III,ScreenWest"
"action,adventure,science fiction",After Earth,M. Night Shyamalan,"Columbia Pictures,Blinding Edge Pictures,Overbrook Entertainment"
"animation,family",Dinosaur,Ralph Zondag,"Walt Disney Pictures,Walt Disney Feature Animation"
"adventure,comedy,family,fantasy",Night at the Museum: Secret of the Tomb,Shawn Levy,"Twentieth Century Fox Film Corporation,1492 Pictures,21 Laps Entertainment,Moving Picture Company (MPC),TSG Entertainment"
"action,animation,comedy,family,science fiction",Megamind,Tom McGrath,DreamWorks Animation
"adventure,family,fantasy",Harry Potter and the Philosopher's Stone,Chris Columbus,"1492 Pictures,Warner Bros.,Heyday Films"
